"","x","y"
"102",251,349
"103",251,322
"104",251,275
"105",251,212
"106",251,211
"107",250,350
"108",250,322
"109",250,275
"110",250,210
"111",250,209
"112",249,350
"113",249,322
"114",249,274
"115",249,273
"116",249,208
"117",249,207
"118",249,206
"119",249,205
"120",248,351
"121",248,321
"122",248,272
"123",248,203
"124",247,351
"125",247,321
"126",247,271
"127",247,205
"128",247,204
"129",247,203
"130",246,352
"131",246,321
"132",246,270
"133",246,202
"134",245,352
"135",245,321
"136",245,269
"137",245,201
"138",245,200
"139",244,352
"140",244,320
"141",244,269
"142",244,199
"143",243,351
"144",243,320
"145",243,268
"146",243,198
"147",243,191
"148",243,190
"149",243,189
"150",242,371
"151",242,370
"152",242,369
"153",242,368
"154",242,367
"155",242,351
"156",242,319
"157",242,267
"158",242,197
"159",242,192
"160",242,188
"161",241,376
"162",241,375
"163",241,374
"164",241,373
"165",241,372
"166",241,366
"167",241,365
"168",241,351
"169",241,319
"170",241,266
"171",241,196
"172",241,192
"173",241,187
"174",241,186
"175",240,381
"176",240,380
"177",240,379
"178",240,378
"179",240,377
"180",240,365
"181",240,351
"182",240,319
"183",240,266
"184",240,195
"185",240,191
"186",240,185
"187",240,184
"188",239,385
"189",239,384
"190",239,383
"191",239,382
"192",239,365
"193",239,350
"194",239,319
"195",239,265
"196",239,194
"197",239,190
"198",239,183
"199",239,182
"200",239,181
"201",238,390
"202",238,389
"203",238,388
"204",238,387
"205",238,386
"206",238,365
"207",238,350
"208",238,318
"209",238,302
"210",238,301
"211",238,264
"212",238,194
"213",238,189
"215",237,422
"216",237,421
"217",237,420
"218",237,419
"219",237,418
"220",237,417
"221",237,396
"222",237,395
"223",237,394
"224",237,393
"225",237,392
"226",237,391
"227",237,364
"228",237,350
"229",237,318
"230",237,303
"231",237,300
"232",237,299
"233",237,264
"234",237,263
"235",237,193
"236",237,189
"238",236,532
"239",236,531
"240",236,530
"241",236,529
"242",236,528
"243",236,527
"244",236,526
"245",236,525
"246",236,524
"247",236,523
"248",236,522
"249",236,521
"250",236,520
"251",236,519
"252",236,518
"253",236,517
"254",236,516
"255",236,515
"256",236,514
"257",236,513
"258",236,512
"259",236,511
"260",236,510
"261",236,509
"262",236,430
"263",236,429
"264",236,428
"265",236,427
"266",236,426
"267",236,425
"268",236,424
"269",236,423
"270",236,416
"271",236,398
"272",236,397
"273",236,363
"274",236,349
"275",236,318
"276",236,303
"277",236,298
"278",236,297
"279",236,262
"280",236,192
"281",236,189
"283",235,560
"284",235,559
"285",235,558
"286",235,557
"287",235,556
"288",235,555
"289",235,554
"290",235,553
"291",235,552
"292",235,535
"293",235,534
"294",235,533
"295",235,508
"296",235,507
"297",235,443
"298",235,442
"299",235,441
"300",235,440
"301",235,439
"302",235,438
"303",235,437
"304",235,436
"305",235,435
"306",235,434
"307",235,433
"308",235,432
"309",235,431
"310",235,415
"311",235,399
"312",235,363
"313",235,349
"314",235,317
"315",235,302
"316",235,296
"317",235,261
"318",235,191
"319",235,188
"321",234,565
"322",234,564
"323",234,563
"324",234,562
"325",234,561
"326",234,551
"327",234,536
"328",234,506
"329",234,505
"330",234,447
"331",234,446
"332",234,445
"333",234,444
"334",234,415
"335",234,400
"336",234,364
"337",234,349
"338",234,317
"339",234,302
"340",234,295
"341",234,261
"342",234,190
"343",234,188
"345",233,566
"346",233,550
"347",233,537
"348",233,505
"349",233,457
"350",233,456
"351",233,455
"352",233,442
"353",233,441
"354",233,440
"355",233,439
"356",233,432
"357",233,431
"358",233,430
"359",233,415
"360",233,399
"361",233,364
"362",233,349
"363",233,317
"364",233,302
"365",233,295
"366",233,260
"367",233,190
"368",233,188
"370",232,580
"371",232,579
"372",232,578
"373",232,577
"374",232,576
"375",232,575
"376",232,574
"377",232,573
"378",232,572
"379",232,567
"380",232,549
"381",232,538
"382",232,504
"383",232,457
"384",232,454
"385",232,447
"386",232,443
"387",232,438
"388",232,437
"389",232,433
"390",232,429
"391",232,428
"392",232,423
"393",232,415
"394",232,398
"395",232,364
"396",232,349
"397",232,317
"398",232,302
"399",232,294
"400",232,259
"401",232,189
"403",231,585
"404",231,584
"405",231,583
"406",231,582
"407",231,581
"408",231,571
"409",231,570
"410",231,567
"411",231,549
"412",231,538
"413",231,504
"414",231,456
"415",231,453
"416",231,452
"417",231,447
"418",231,446
"419",231,442
"420",231,436
"421",231,432
"422",231,427
"423",231,424
"424",231,422
"425",231,414
"426",231,397
"427",231,364
"428",231,348
"429",231,316
"430",231,301
"431",231,293
"432",231,292
"433",231,259
"434",231,189
"436",230,592
"437",230,591
"438",230,590
"439",230,589
"440",230,588
"441",230,587
"442",230,586
"443",230,569
"444",230,567
"445",230,549
"446",230,538
"447",230,504
"448",230,462
"449",230,461
"450",230,455
"451",230,451
"452",230,450
"453",230,445
"454",230,444
"455",230,441
"456",230,435
"457",230,431
"458",230,427
"459",230,424
"460",230,422
"461",230,414
"462",230,396
"463",230,395
"464",230,363
"465",230,348
"466",230,316
"467",230,301
"468",230,291
"469",230,257
"470",230,189
"472",229,597
"473",229,596
"474",229,595
"475",229,594
"476",229,593
"477",229,569
"478",229,566
"479",229,549
"480",229,539
"481",229,504
"482",229,464
"483",229,463
"484",229,460
"485",229,459
"486",229,454
"487",229,453
"488",229,449
"489",229,448
"490",229,443
"491",229,440
"492",229,439
"493",229,434
"494",229,431
"495",229,428
"496",229,425
"497",229,422
"498",229,420
"499",229,419
"500",229,418
"501",229,414
"502",229,394
"503",229,393
"504",229,362
"505",229,348
"506",229,316
"507",229,301
"508",229,290
"509",229,257
"510",229,188
"511",229,186
"513",228,598
"514",228,569
"515",228,566
"516",228,549
"517",228,539
"518",228,504
"519",228,469
"520",228,468
"521",228,467
"522",228,462
"523",228,458
"524",228,457
"525",228,452
"526",228,451
"527",228,447
"528",228,442
"529",228,438
"530",228,434
"531",228,431
"532",228,428
"533",228,425
"534",228,423
"535",228,420
"536",228,418
"537",228,415
"538",228,392
"539",228,362
"540",228,347
"541",228,315
"542",228,300
"543",228,289
"544",228,188
"545",228,186
"547",227,598
"548",227,568
"549",227,566
"550",227,550
"551",227,539
"552",227,504
"553",227,469
"554",227,466
"555",227,465
"556",227,461
"557",227,460
"558",227,456
"559",227,455
"560",227,450
"561",227,449
"562",227,446
"563",227,445
"564",227,441
"565",227,437
"566",227,434
"567",227,431
"568",227,429
"569",227,426
"570",227,423
"571",227,420
"572",227,418
"573",227,415
"574",227,391
"575",227,362
"576",227,347
"577",227,315
"578",227,301
"579",227,288
"580",227,259
"581",227,258
"582",227,188
"583",227,187
"584",227,186
"586",226,598
"587",226,568
"588",226,565
"589",226,550
"590",226,539
"591",226,504
"592",226,468
"593",226,464
"594",226,463
"595",226,459
"596",226,458
"597",226,454
"598",226,453
"599",226,448
"600",226,444
"601",226,441
"602",226,437
"603",226,435
"604",226,432
"605",226,429
"606",226,426
"607",226,424
"608",226,421
"609",226,419
"610",226,416
"611",226,390
"612",226,389
"613",226,361
"614",226,347
"615",226,315
"616",226,302
"617",226,287
"618",226,259
"619",226,188
"620",226,186
"622",225,598
"623",225,567
"624",225,565
"625",225,550
"626",225,539
"627",225,504
"628",225,467
"629",225,466
"630",225,462
"631",225,457
