numb,symb,name,classification,mass,rcov,rvdw,rion,color,period,group,type,phase,crystal,Eneg,IP,density,melting,boiling,isotopes
3,Li,Lithium,trace,6.941,1.28,1.81,0.76,#CC80FF,2,1,Alkali Metal,solid,bcc,0.98,5.3917,0.534,453.85,1615,5
11,Na,Sodium,major,22.98977,1.66,2.27,1,#AB5CF2,3,1,Alkali Metal,solid,bcc,0.93,5.1391,0.971,371.15,1156,7
12,Mg,Magnesium,major,24.305,1.41,1.73,0.72,#8AFF00,3,2,Alkaline Earth Metal,solid,hex,1.31,7.6462,1.738,923.15,1363,8
13,Al,Aluminum,minor,26.981538,1.21,1.84,0.54,#BFA6A6,3,13,Metal,solid,fcc,1.61,5.9858,2.698,933.4,2792,8
19,K,Potassium,minor,39.0983,2.03,2.75,1.4,#8F40D4,4,1,Alkali Metal,solid,bcc,0.82,4.3407,0.862,336.5,1032,10
20,Ca,Calcium,major,40.078,1.76,2.31,0.99,#3DFF00,4,2,Alkaline Earth Metal,solid,fcc,1,6.1132,1.54,1112.15,1757,14
22,Ti,Titanium,trace,47.867,1.6,2.15,0.61,#BFC2C7,4,4,Transition Metal,solid,hex,1.54,6.8281,4.54,1933.15,3560,9
25,Mn,Manganese,trace,54.938049,1.39,2.05,0.46,#9C7AC7,4,7,Transition Metal,solid,bcc,1.55,7.434,7.44,1519.15,2334,11
26,Fe,Iron,minor,55.845,1.32,2.05,0.65,#E06633,4,8,Transition Metal,solid,bcc,1.83,7.9024,7.874,1808.15,3134,10
37,Rb,Rubidium,trace,85.4678,2.2,3.03,1.5,#702EB0,5,1,Alkali Metal,solid,bcc,0.82,4.1771,1.532,312.79,961,20
38,Sr,Strontium,trace,87.62,1.95,2.49,1.1,#00FF00,5,2,Alkaline Earth Metal,solid,fcc,0.95,5.6949,2.64,1042.15,1655,18
40,Zr,Zirconium,trace,91.224,1.75,2.3,0.72,#94E0E0,5,4,Transition Metal,solid,hex,1.33,6.6339,6.506,2125.15,4682,20
56,Ba,Barium,trace,137.327,2.15,2.68,1.4,#00C900,6,2,Alkaline Earth Metal,solid,bcc,0.89,5.2117,3.594,1002.15,2170,25
57,La,Lanthanum,trace,138.9055,2.07,2.5,1.1,#70D4FF,6,3,Lanthanide,solid,hex,1.1,5.5769,6.145,1193.15,3737,19
58,Ce,Cerium,trace,140.116,2.04,2.48,1,#FFFFC7,6,19,Lanthanide,solid,fcc,1.12,5.5387,6.77,1071.15,3716,19
60,Nd,Neodymium,trace,144.24,2.01,2.45,1,#C7FFC7,6,21,Lanthanide,solid,hex,1.14,5.525,7.007,1289.15,3347,16
72,Hf,Hafnium,trace,178.49,1.75,2.25,0.71,#4DC2FF,6,4,Transition Metal,solid,hex,1.3,6.8251,13.31,2500.15,4876,17
82,Pb,Lead,trace,207.2,1.46,2.02,1.2,#575961,6,14,Metal,solid,fcc,2.33,7.4167,11.342,600.75,2022,29
