pane,fragment,Rep,mfr,element,ppm
AA,1,1,A,Al,2678
AA,1,1,A,Ba,10.8
AA,1,1,A,Ca,63140
AA,1,1,A,Ce,9.52
AA,1,1,A,Fe,667
AA,1,1,A,Hf,1.148
AA,1,1,A,K,1257
AA,1,1,A,La,3.99
AA,1,1,A,Li,2.3
AA,1,1,A,Mg,23090
AA,1,1,A,Mn,18.59
AA,1,1,A,Na,102770
AA,1,1,A,Nd,3.52
AA,1,1,A,Pb,1.106
AA,1,1,A,Rb,2.26
AA,1,1,A,Sr,30.96
AA,1,1,A,Ti,173.4
AA,1,1,A,Zr,43.08
AA,1,2,A,Al,2652
AA,1,2,A,Ba,10.7
AA,1,2,A,Ca,62900
AA,1,2,A,Ce,9.48
AA,1,2,A,Fe,680
AA,1,2,A,Hf,1.152
AA,1,2,A,K,1244.2
AA,1,2,A,La,3.88
AA,1,2,A,Li,1.72
AA,1,2,A,Mg,22850
AA,1,2,A,Mn,18.15
AA,1,2,A,Na,102510
AA,1,2,A,Nd,3.42
AA,1,2,A,Pb,1.038
AA,1,2,A,Rb,2.14
AA,1,2,A,Sr,31.06
AA,1,2,A,Ti,173.3
AA,1,2,A,Zr,45.44
AA,1,3,A,Al,2722
AA,1,3,A,Ba,10.72
AA,1,3,A,Ca,62680
AA,1,3,A,Ce,9.24
AA,1,3,A,Fe,658
AA,1,3,A,Hf,1.1
AA,1,3,A,K,1246
AA,1,3,A,La,4.08
AA,1,3,A,Li,2.06
AA,1,3,A,Mg,23040
AA,1,3,A,Mn,18.11
AA,1,3,A,Na,101850
AA,1,3,A,Nd,3.21
AA,1,3,A,Pb,1.156
AA,1,3,A,Rb,2.15
AA,1,3,A,Sr,30.49
AA,1,3,A,Ti,171.1
AA,1,3,A,Zr,43.56
AA,1,4,A,Al,2731
AA,1,4,A,Ba,10.59
AA,1,4,A,Ca,63670
AA,1,4,A,Ce,9.22
AA,1,4,A,Fe,662
AA,1,4,A,Hf,1.245
AA,1,4,A,K,1267
AA,1,4,A,La,4.03
AA,1,4,A,Li,2.22
AA,1,4,A,Mg,23260
AA,1,4,A,Mn,18.15
AA,1,4,A,Na,102970
AA,1,4,A,Nd,3.75
AA,1,4,A,Pb,1.137
AA,1,4,A,Rb,2.08
AA,1,4,A,Sr,31.86
AA,1,4,A,Ti,170.8
AA,1,4,A,Zr,45.56
AA,1,5,A,Al,2621
AA,1,5,A,Ba,10.78
AA,1,5,A,Ca,60490
AA,1,5,A,Ce,9.45
AA,1,5,A,Fe,683
AA,1,5,A,Hf,1.132
AA,1,5,A,K,1216
AA,1,5,A,La,4
AA,1,5,A,Li,2.06
AA,1,5,A,Mg,22530
AA,1,5,A,Mn,17.87
AA,1,5,A,Na,101690
AA,1,5,A,Nd,3.45
AA,1,5,A,Pb,1.179
AA,1,5,A,Rb,2.12
AA,1,5,A,Sr,30.33
AA,1,5,A,Ti,168
AA,1,5,A,Zr,42.6
AA,2,1,A,Al,2693
AA,2,1,A,Ba,10.43
AA,2,1,A,Ca,62160
AA,2,1,A,Ce,9.37
AA,2,1,A,Fe,670
AA,2,1,A,Hf,1.078
AA,2,1,A,K,1235
AA,2,1,A,La,4.01
AA,2,1,A,Li,1.75
AA,2,1,A,Mg,22950
AA,2,1,A,Mn,18.16
AA,2,1,A,Na,101380
AA,2,1,A,Nd,3.48
AA,2,1,A,Pb,1.159
AA,2,1,A,Rb,2.16
AA,2,1,A,Sr,30.97
AA,2,1,A,Ti,174.8
AA,2,1,A,Zr,43.15
AA,2,2,A,Al,2704
AA,2,2,A,Ba,11.06
AA,2,2,A,Ca,63490
AA,2,2,A,Ce,9.58
AA,2,2,A,Fe,679
AA,2,2,A,Hf,1.116
AA,2,2,A,K,1253
AA,2,2,A,La,4.04
AA,2,2,A,Li,1.56
AA,2,2,A,Mg,23050
AA,2,2,A,Mn,18.01
AA,2,2,A,Na,101950
AA,2,2,A,Nd,3.49
AA,2,2,A,Pb,1.196
AA,2,2,A,Rb,2.19
AA,2,2,A,Sr,31.19
AA,2,2,A,Ti,176.4
AA,2,2,A,Zr,43.19
AA,2,3,A,Al,2752
AA,2,3,A,Ba,10.97
AA,2,3,A,Ca,63140
AA,2,3,A,Ce,9.62
AA,2,3,A,Fe,655
AA,2,3,A,Hf,1.157
AA,2,3,A,K,1237
AA,2,3,A,La,4.12
AA,2,3,A,Li,1.71
AA,2,3,A,Mg,22980
AA,2,3,A,Mn,18.18
AA,2,3,A,Na,100860
AA,2,3,A,Nd,3.48
AA,2,3,A,Pb,1.102
AA,2,3,A,Rb,2.18
AA,2,3,A,Sr,31.59
AA,2,3,A,Ti,172.5
AA,2,3,A,Zr,45.8
AA,2,4,A,Al,2723
AA,2,4,A,Ba,11.22
AA,2,4,A,Ca,63030
AA,2,4,A,Ce,9.68
AA,2,4,A,Fe,662
AA,2,4,A,Hf,1.222
AA,2,4,A,K,1261
AA,2,4,A,La,4.11
AA,2,4,A,Li,2.32
AA,2,4,A,Mg,22950
AA,2,4,A,Mn,18.59
AA,2,4,A,Na,101320
AA,2,4,A,Nd,3.55
AA,2,4,A,Pb,1.101
AA,2,4,A,Rb,2.2
