,type,Good,Bad,Ugly,,
Number of sets,All minutiae,273,276,300,,
Number of minutiae,All minutiae,7651,4313,3044,,
Avg # minutiae per set,All minutiae,28,15.6,10.1,,
(range),All minutiae,"(0.13, 100)","(0.18, 100)","(0.64, 100)",,
Avg Q per set,All minutiae,24.4,25.4,24.2,,
(SD),All minutiae,17.1,18,18.4,,
Number of minutiae,Minutiae with Q > 10,6213,3542,2414,,
Avg # minutiae per set,Minutiae with Q > 10,22.8,12.8,8,,
(SD),Minutiae with Q > 10,12.7,6.2,3.5,,
Avg Q per set,Minutiae with Q > 10,28.5,29.6,28.9,,
(SD),Minutiae with Q > 10,16.4,17.1,17.9,,
Number of minutiae,Minutiae with Q > 20,3873,2311,1474,,
Avg # minutiae per set,Minutiae with Q > 20,14.2,8.4,4.9,,
(SD),Minutiae with Q > 20,11,5.5,3.6,,
Avg Q per set,Minutiae with Q > 20,36.7,37.3,37.9,,
(SD),Minutiae with Q > 20,15.7,16.4,17.5,,
Number of minutiae,Minutiae with Q > 30,2160,1397,854,,
Avg # minutiae per set,Minutiae with Q > 30,7.9,5,2.8,,
(SD),Minutiae with Q > 30,8.8,4.4,3,,
Avg Q per set,Minutiae with Q > 30,46.4,45.8,47.8,,
(SD),Minutiae with Q > 30,15.1,16.3,17.2,,
