letter,Term,Definition,Committee,lastRevision
A,A horizon,"Mineral horizons that formed at the surface or below an O horizon that exhibit obliteration of all or much of the original rock structure and (i) are characterized by an accumulation of humified organic matter intimately mixed with the mineral fraction and not dominated by properties characteristic of E or B horizons; or (ii) have properties resulting from cultivation, pasturing, or similar kinds of disturbance.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,A horizon,"Mineral horizons that formed at the surface or below an O horizon that exhibit obliteration of all or much of the original rock structure and (1) are characterized by an accumulation of humidified organic matter intimately mixed with the mineral fraction and not dominated by properties characteristic of E or B horizons; or (2) have properties resulting from cultivation, pasturing, or similar kinds of disturbance.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Abduction,"Syllogism in which one premise is certain and the other one is only probable, generally presented as the best explanation to the former. Hence, abduction is a type of reasoning in which we know the law and the effect, and we attempt to infer the cause.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Abrasive,"A rock fragment, mineral particle, or sand grain used by natural agents in abrading rock material or land surfaces. adj. Possessing the characteristics of a tool for grinding or mechanical wear.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Absent Character,"A character or character combination which is present in one body of writing but is not present (for example, does not have a corresponding character) in another body of writing.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
A,Absolute Age,"Numerical age. The term is now in disfavor as it implies a certainty or exactness that may not be possible by present dating methods; e.g., two ""absolute"" ages for the same pluton may disagree by hundreds of millions of years.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Absorb,"The process through which a substance permeates an absorbent material (to take in through or as through pores or interstices; to soak in or up), as opposed to the accumulation at the interface as in the case of adsorption. See also > and >.  A process by which a substance is taken into another substance.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Absorbent,A substance that is capable of absorbing.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Absorbent,Capable of absorbing something: absorbent cotton.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Abundance,"The relative amount of a material in the composite collection under consideration.  In relation to instrumental analysis, a signal response typically represented on the y-axis of spectra.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Abuse,Excessive or improper use of drugs or other substances.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,AC soil,"A soil with a distinctly developed profile, including A, B, and C horizons.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accelerant,Any material used to initiate or promote the spread of a fire. The most common accelerants are flammable or combustible liquids. Whether a substance is an accelerant depends not on its chemical structure but on its use.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accelerant,"Any material used to initiate or promote the spread of a fire. The most common accelerants are ignitable liquids. Whether a substance is an accelerant depends not on its chemical structure, but on its use.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accelerant,"Any substance, usually a flammable or combustible liquid, that is used to initiate or spread a fire.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accelerating Voltage,"The voltage/electrical potential applied to the filament that accelerates the electrons emitted by the electron gun/filament. In general, increasing the accelerating voltage will decrease the spherical aberration of the system and, consequently, increase the resolution.    However, varying the acceleration voltage also affects the beam-specimen interaction. Consequently, if a higher accelerating voltage is used, the interaction volume between the beam and specimen will be bigger. This needs to be considered when analyzing small particles as the interaction volume may exceed the size of the particle.  SE images obtained using low kV accelerating voltages (5 to 10 kV) provide exceptional topographical information because the beam interaction is confined to regions very close to the surface. As a result, the yield of BSE is low using low kV accelerating voltages.  Conversely, using high kV (20 to 30 kV) accelerating voltages, much higher yields of BSE are obtained due to the deeper penetration and interaction volume of the beam.  As the accelerating voltage increases, so does the detectability of higher atomic number elements. The accelerating voltage needs to be a minimum of 20 kV to permit generation of (and detection thereof) the Lead ‘L’ lines.",Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
A,Accessory mineral,"A mineral whose presence in a rock is not essential to the proper classification of the rock. Accessory minerals generally occur in minor amounts; in sedimentary rocks, they are mostly heavy minerals.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accidental characteristic,See >.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
A,Accidental death,An unexpected or unforeseen death due to injury.,MDI (Crime Scene / Death Investigation),2018-02-23
A,Accidental fire,A fire occurring without design or intent.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Acclimation,A period of time used for the dog to become adjusted to its environment.  Scientific usage: Adaptation or adjustment to a new circumstance. (Also called Environmental conditioning).,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Accreditation,"The process by which an organization (or, in some cases, an individual or team) is formally recognized by an accreditation body as competent and able to plan, manage and operationally conduct their actions safely, effectively and efficiently. This is an ongoing process.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Accreditation,"The formal recognition by independent accreditation body, that a scientific body meets or exceeds a proscribed set of standards.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
A,Accreditation,"A process that establishes minimum standards for forensic science; applies to systems, offices and agencies.",MDI (Crime Scene / Death Investigation),2018-02-23
A,Accreditation,"The formal recognition by an external recognized body of the facilities, capability, objectivity, competence, and integrity of an agency, service, or operational group or individual to provide the specific service or operation needed. The term has multiple meanings depending on the sector. Laboratory accreditation assesses the capability of a laboratory to conduct testing, generally using standard test methods, and ensures it operates according to recognized international standards.",QIC (FSSB),2018-02-23
A,Accreditation,"A third party evaluation of a laboratory based on a particular standard(s), other relevant documents and attestation of a laboratory’s competence to carry out specific tasks.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
A,Accreditation body,An organization responsible for management and implementation of the system to set standards or guidelines within the relevant field.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Accreditation/Accrediting body,"An authoritative body that performs accreditation. The authority of an accreditation/accrediting body is generally derived from government, national, or international standards.",QIC (FSSB),2018-02-23
A,Accredited,The designation given to those who are able to demonstrate they meet or exceed the standards or guidelines set by the appropriate accreditation body.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Accredited inspection body,"An organization that performs examinations and/or inspections of materials, products, installations, plants, processes, work procedures or services, where examination activities are evaluative and not considered testing, and that has received formal recognition by an accrediting body that it meets or exceeds a list of standards to perform specific inspections/examinations.",QIC (FSSB),2018-02-23
A,Accredited laboratory,A laboratory that has received formal recognition that it meets or exceeds a list of standards to perform specific tests by an accrediting body.,QIC (FSSB),2018-02-23
A,Accretion,"A concretion; specif. one that grows from the center outward in a regular manner by successive additions of material (Todd, 1903).",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accretion,"The process by which an inorganic body increases in size by the external addition of fresh particles, as by adhesion. (Todd, 1903).",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accuracy,"Closeness of agreement between a test result or measurement result and the true value NOTE 1 In practice, the accepted reference value is substituted for the true value. NOTE 2 The term “accuracy”, when applied to a set of test or measurement results, involves a combination of random components and a common systematic error or bias component. NOTE 3 Accuracy refers to a combination of trueness and precision. [ISO 3534-2:2006].",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accuracy,"The closeness of agreement between a test result and the accepted reference value.  DISCUSSION—(1) In practice, the accepted reference value is substituted for the true value. (2) The term ""accuracy,"" when applied to a set of test or measurement results, involves a combination of random components and a common systematic error or bias component. (3) Accuracy refers to a combination of trueness and precision.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Accuracy,The degree of agreement between a test result or measurement and the accepted reference value.,QIC (FSSB),2018-02-23
A,Accuracy,Degree of conformity of a measure to a standard or true value.,Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
A,Accuracy studies,Studies performed to establish the range of sample and profile parameters for which the probabilistic genotyping system performs as expected such that the results are reasonable and consistent with expectations based on non-probabilistic mixture analysis methods. See also >.,Probabilistic Genotyping Task Group of BDIRC (Biology / DNA),2018-02-23
A,Accuracy studies (developmental validation),"Studies performed to establish that the calculations performed by the probabilistic genotyping system are correctly executed, and that the results obtained produce the expected likelihood ratio for situations where the calculations can be performed manually or with an alternate software program or application. Such situations include profile results from single source samples, 2-person mixtures with unambiguous major and minor contributors, and 2-person mixtures with equal mixture proportions.",Probabilistic Genotyping Task Group of BDIRC (Biology / DNA),2018-02-23
A,Achievable resolution,"The measure of imaging system’s practical limit to distinguish between separate adjacent elements, typically by imaging a known reference standard.","Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
A,Acicular,Said of a crystal that is needlelike in form.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Acid bomb,"A device intended to produce a mechanical explosion by container overpressure due to a chemical reaction of an acid, usually with aluminum in the form of a foil.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Acid bomb,"A device intended to produce a mechanical explosion by container overpressure due to a chemical reaction of an acid, usually with aluminum in the form of a foil; also known as acid/foil bomb .",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Acid soil,Soil with a pH value,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Acquisition,"In computer forensics, the process of using an access interface to read digital data from a digital source and to create a destination object.",Digital Evidence (Digital / Multimedia),2018-02-23
A,Activated carbon,"A porous highly adsorptive form of carbon used in the separation and extraction of chemical compounds, and in the recovery of solvents.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Activated carbon strip (ACS),"The activated charcoal strip is composed of a homogeneous mixture of activated charcoal and Teflon to form a flexible strip, which provides a convenient adsorption medium for fire debris analysis.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Activated charcoal,See >.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Activation energy,"For a chemical reaction to occur, molecules must collide. But at ordinary temperatures, it is possible to create a gaseous mixture containing large amounts of both fuel and oxidizer molecules, yet no reaction will be observed, despite the fact that numerous collisions are occurring. In the 19th century, the Swedish chemist Svante Arrhenius first suggested that this was because these collisions did not have sufficient energy . He considered that there was an energy 'hump' which must be overcome by the reactants, even if the reaction itself is exothermic.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Activation energy,"The amount of energy needed to take the starting materials from their reasonably stable form at 25°C and convert them to a reactive, higher-energy excited state.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Active alert,"A type of response that the canine displays/ indicates in a manner that may disturb the environment and or forensic evidence (i.e., dig, bark, scratch, paw, jump, and bite after the detector canine has detected a trained odor/scent).",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Acute,Sudden or short term.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Ad hoc image,"In facial identification, an image not captured in accordance with facial identification/facial recognition (FI/FR) standards or guidelines (for example, a surveillance image). (See >.)",Facial Identification (Digital / Multimedia),2018-02-23
A,Ad hoc image,See >.,Facial Identification (Digital / Multimedia),2018-02-23
A,Adaptation,In evolution a change in behavior or in form over time that helps the animal to survive.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Additional amplification cycles,One or more amplification cycles beyond the validated standard method used by the laboratory.,Biology (Biology / DNA),2018-02-23
A,Adenine,A purine base; one of the four molecules containing nitrogen present in the nucleic acids DNA and RNA; designated by letter A.,Biology (Biology / DNA),2018-02-23
A,Adhesion,"Forces of attraction between unlike molecules, e.g., water and solid.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Adhesive Lifter,Any material coated with a tacky substance for the purpose of lifting impressions.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
A,Adipocere,Semi-solid / liquid decomposition product of human remains.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Adipocere,The wax-like substance formed due to the transformation of lipids.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Adjustment,Set of operations carried out on a measuring system so that it provides prescribed indications corresponding to given values of the quantity to be measured.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
A,Administrative review,An evaluation of a report and/or supporting documentation for consistency with laboratory policies and for editorial correctness.,QIC (FSSB),2018-02-23
A,Administrative review,A procedure used to check casework for consistency with agency/laboratory policy and editorial practice.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
A,Administrative review,"An assessment of the administrative content of a case file. Discussion. An administrative review is one typically carried out within an agency to ensure that the examiner’s work product meets the agency’s quality assurance requirements regarding documentation. An administrative reviewer will determine whether all of the necessary documentation is present in the file, and check for typographical or grammatical errors.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Adsorb,"The process through which a substance, originally present in one phase, is removed from that phase by accumulation at the interface between that phase and a separate (solid) phase.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Adsorbent,"A substance which has the ability to condense or hold molecules of other substances on its surface.  Activated carbon, activated alumina and silica gel are examples.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Adulterant,"Any material that lessens the purity or effectiveness of a substance, especially a pharmacologically active drug. A substance used to increase the mass of a controlled substance.  These substances produce a physiological effect on the body and are used to give the illusion that there is more controlled substance present than actually is present.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,advance,FSSB.,(Not Provided),2018-02-23
A,Adventitious DNA,Contaminating DNA that unintentionally becomes amplified along with the intentional template DNA obtained from evidence or reference samples.,Biology (Biology / DNA),2018-02-23
A,Adventitious match,"An association of an evidence DNA profile to the profile of a person who is not the true donor of that profile. This situation usually arises when the DNA profile contains information from only a few loci that are insufficient to distinguish the profiles of two different individuals, sometimes due to  degraded DNA.",Biology (Biology / DNA),2018-02-23
A,Aered Stain,A bloodstain with characteristics that indicate a physical change has occurred.,Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
A,Aerobic,"Growing only in the presence of molecular oxygen, such as aerobic organisms.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aerobic,Having molecular oxygen as a part of the environment.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aerobic,Occurring only in the presence of molecular oxygen (said of chemical or biochemical processes such as aerobic decomposition).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aerosol,The suspension of fine solid or liquid particles in gas.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aetone,The simplest ketone; a flammable and a water soluble solvent; CH3COCH3; mw 58.08; bp 56.5˙C (133.7˙F); fp -18˙C (0˙F); flammability range 2.6-12.8%; CAS [67-64-1]; also known as 2-propanone.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Af diagram,A triangular diagram showing the simplified compositional character of metamorphic rocks and minerals by plotting the molecular quantities of the three components: A = Al2O3 + Fe2O3 - (Na2O + K2O); C=CaO - 3.3P2O5; and F=FeO + MgO + MnO. A+C+F (in mols) are recalculated to 100%; the presence of excess SiO2 is assumed.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,AFR,Automated facial recognition.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
